CF_FRG,CF_SMILES,Analyticon_SMILES,Analyticon_ID,Substructure_SMILES,Analyticon_2D_Mol,CF_2D_Mol,Substructure_2D_Mol,Exit_Atom_Numbers,Substructure_Exit_Atoms,ChEMBL_Molecule_ID,ChEMBL_Activity_ID,ChEMBL_Assay_ID,ChEMBL_Assay_Type,pChEMBL_Value,ChEMBL_Relation,ChEMBL_Standard_Unit,ChEMBL_Standard_Value,ChEMBL_Target_ID,ChEMBL_Value_Type,units,value,ChEMBL_Assay_Confidence_Description,ChEMBL_Assay_Confidence_Score,ChEMBL_Assay_Description,ChEMBL_Target_Organism,ChEMBL_Target_Name,ChEMBL_Target_Type
FRG134,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,FC(F)(F)c1ccc2nc([C@H]3CCN(C4CCC4)C3)[nH]c2c1,NAT31-457555,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f501a12ab60>,<rdkit.Chem.rdchem.Mol object at 0x7f501a3d9530>,<rdkit.Chem.rdchem.Mol object at 0x7f5019df49a0>,"[0, 9]",<rdkit.Chem.rdchem.Mol object at 0x7f501aec0540>,CHEMBL3437380,17840503.0,CHEMBL3988443,F,,=,%,3.297,CHEMBL4105741,Inhibition,%,3.296703297,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG134,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,FC(F)(F)c1ccc2nc([C@H]3CCN(C4CCCCC4)C3)[nH]c2c1,NAT31-457557,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f501a12b2e0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a3d97b0>,<rdkit.Chem.rdchem.Mol object at 0x7f5019df4d60>,"[0, 9]",<rdkit.Chem.rdchem.Mol object at 0x7f501aec0680>,CHEMBL3437328,17814974.0,CHEMBL3988443,F,,=,%,14.84,CHEMBL4105741,Inhibition,%,14.83516484,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG134,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,CN1CCC(N2CC[C@H](c3nc4ccc(C(F)(F)F)cc4[nH]3)C2)CC1,NAT31-457573,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f501a157d80>,<rdkit.Chem.rdchem.Mol object at 0x7f501a3da070>,<rdkit.Chem.rdchem.Mol object at 0x7f5019df5a80>,"[1, 9]",<rdkit.Chem.rdchem.Mol object at 0x7f501aec0ae0>,CHEMBL3437559,17849658.0,CHEMBL3988443,F,,=,%,9.89,CHEMBL4105741,Inhibition,%,9.89010989,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG134,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,FC(F)(F)c1ccc2nc([C@H]3CCN(C4CCOCC4)C3)[nH]c2c1,NAT31-457581,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f501a1577e0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a3da890>,<rdkit.Chem.rdchem.Mol object at 0x7f5019df6200>,"[0, 9]",<rdkit.Chem.rdchem.Mol object at 0x7f501aec0d60>,CHEMBL3437560,17841909.0,CHEMBL3988443,F,,=,%,4.945,CHEMBL4105741,Inhibition,%,4.945054945,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG134,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,CC(C)N1CC[C@H](c2nc3ccc(C(F)(F)F)cc3[nH]2)C1,NAT31-457588,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f501a157240>,<rdkit.Chem.rdchem.Mol object at 0x7f501bc2b010>,<rdkit.Chem.rdchem.Mol object at 0x7f5019df6980>,"[1, 9]",<rdkit.Chem.rdchem.Mol object at 0x7f501aec0fe0>,CHEMBL3437327,17815379.0,CHEMBL3988443,F,,=,%,12.64,CHEMBL4105741,Inhibition,%,12.63736264,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG134,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,COc1ccc(CN2CC[C@H](c3nc4cccc(C(N)=O)c4[nH]3)C2)cc1,NAT31-470153,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f501a156e30>,<rdkit.Chem.rdchem.Mol object at 0x7f501a45c3b0>,<rdkit.Chem.rdchem.Mol object at 0x7f5019e207c0>,"[2, 9]",<rdkit.Chem.rdchem.Mol object at 0x7f501aec2f20>,CHEMBL3437366,17813476.0,CHEMBL3988443,F,,=,%,12.78,CHEMBL4105741,Inhibition,%,12.78195489,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG145,Clc1ccc(-c2c[nH]c([C@@H]3COCCN3)n2)s1,CC(=O)N1CCC(N2CCOC[C@H]2c2nc(-c3ccc(Cl)s3)c[nH]2)CC1,NAT41-530308,Clc1ccc(-c2c[nH]c([C@@H]3COCCN3)n2)s1,<rdkit.Chem.rdchem.Mol object at 0x7f501a1806d0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a41f6f0>,<rdkit.Chem.rdchem.Mol object at 0x7f5019e4e160>,[14],<rdkit.Chem.rdchem.Mol object at 0x7f501af00c20>,CHEMBL3437292,17866789.0,CHEMBL3988443,F,,=,%,9.831,CHEMBL4105741,Inhibition,%,9.830508475,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG168,NC[C@H]1O[C@H](Cc2cc(-c3ccccc3)on2)CC[C@@H]1O,O[C@H]1CC[C@@H](Cc2cc(-c3ccccc3)on2)O[C@@H]1CNCC1CC1,NAT12-540553,NC[C@H]1O[C@H](Cc2cc(-c3ccccc3)on2)CC[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7f501a2a6890>,<rdkit.Chem.rdchem.Mol object at 0x7f501a732d90>,<rdkit.Chem.rdchem.Mol object at 0x7f5019fdf510>,[0],<rdkit.Chem.rdchem.Mol object at 0x7f501af03740>,CHEMBL3437354,17838442.0,CHEMBL3988443,F,,=,%,12.05,CHEMBL4105741,Inhibition,%,12.05211726,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG236,CS(=O)(=O)c1ccc(O[C@@H]2CNCCOC2)cc1,CC(C)CN1CCOC[C@H](Oc2ccc(S(C)(=O)=O)cc2)C1,NAT47-552461,CS(=O)(=O)c1ccc(O[C@@H]2CNCCOC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f501a0a67f0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a39bf10>,<rdkit.Chem.rdchem.Mol object at 0x7f5019df5710>,[11],<rdkit.Chem.rdchem.Mol object at 0x7f501af84180>,CHEMBL3437176,17855621.0,CHEMBL3988443,F,,=,%,4.886,CHEMBL4105741,Inhibition,%,4.885993485,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG236,CS(=O)(=O)c1ccc(O[C@@H]2CNCCOC2)cc1,Cc1nc(C)c(CN2CCOC[C@H](Oc3ccc(S(C)(=O)=O)cc3)C2)s1,NAT47-552478,CS(=O)(=O)c1ccc(O[C@@H]2CNCCOC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f501a214ea0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a3d86d0>,<rdkit.Chem.rdchem.Mol object at 0x7f5019df4810>,[11],<rdkit.Chem.rdchem.Mol object at 0x7f501af84400>,CHEMBL3437308,17864151.0,CHEMBL3988443,F,,=,%,8.795,CHEMBL4105741,Inhibition,%,8.794788274,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
FRG001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O[C@@H]1C[C@@H](c2nc(-c3ccc(F)cc3)no2)N(C2CCOCC2)C1,NAT18-349780,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f501a1ba250>,<rdkit.Chem.rdchem.Mol object at 0x7f501abc71a0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a08cb80>,[3],<rdkit.Chem.rdchem.Mol object at 0x7f501b56aac0>,CHEMBL3437454,20850103.0,CHEMBL4649957,F,,=,%,1.29,CHEMBL4662922,Percent Effect,%,1.28982549334664,Homologous single protein target assigned,8,Biochemical assay for Mt-TrpRS,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Tryptophan--tRNA ligase,SINGLE PROTEIN
FRG001,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,Cc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(F)cc3)no2)cc1,NAT18-349783,O[C@H]1CN[C@H](c2nc(-c3ccc(F)cc3)no2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f501a1b9cb0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a6f5ad0>,<rdkit.Chem.rdchem.Mol object at 0x7f501bc740e0>,[3],<rdkit.Chem.rdchem.Mol object at 0x7f501b56a7a0>,CHEMBL3437550,21806920.0,CHEMBL4649957,F,,=,%,-3.067,CHEMBL4662922,Percent Effect,%,-3.06690078597677,Homologous single protein target assigned,8,Biochemical assay for Mt-TrpRS,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Tryptophan--tRNA ligase,SINGLE PROTEIN
FRG009,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,CC(C)N1C[C@H](O)C[C@H]1c1nc(-c2ccc(OC(F)(F)F)cc2)no1,NAT18-348779,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f501a1ebba0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a731f30>,<rdkit.Chem.rdchem.Mol object at 0x7f5019ebd7b0>,"[0, 15]",<rdkit.Chem.rdchem.Mol object at 0x7f501b523a60>,CHEMBL3436907,21647979.0,CHEMBL4649957,F,,=,%,-3.238,CHEMBL4662922,Percent Effect,%,-3.23795501923872,Homologous single protein target assigned,8,Biochemical assay for Mt-TrpRS,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Tryptophan--tRNA ligase,SINGLE PROTEIN
FRG009,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3C3CCCCC3)n2)cc1,NAT18-349420,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f501a1e9170>,<rdkit.Chem.rdchem.Mol object at 0x7f501a7330b0>,<rdkit.Chem.rdchem.Mol object at 0x7f5019ebf790>,[15],<rdkit.Chem.rdchem.Mol object at 0x7f501b522480>,CHEMBL3437576,21965740.0,CHEMBL4649957,F,,=,%,-1.442,CHEMBL4662922,Percent Effect,%,-1.4415793984081,Homologous single protein target assigned,8,Biochemical assay for Mt-TrpRS,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Tryptophan--tRNA ligase,SINGLE PROTEIN
FRG009,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,CN1C[C@H](O)C[C@H]1c1nc(-c2ccc3c(c2)OCO3)no1,NAT18-381860,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f501a1ead40>,<rdkit.Chem.rdchem.Mol object at 0x7f501a7757b0>,<rdkit.Chem.rdchem.Mol object at 0x7f5019ebf740>,"[0, 15, 18]",<rdkit.Chem.rdchem.Mol object at 0x7f501b521120>,CHEMBL3437452,21806981.0,CHEMBL4649957,F,,=,%,-12.74,CHEMBL4662922,Percent Effect,%,-12.7383667735173,Homologous single protein target assigned,8,Biochemical assay for Mt-TrpRS,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Tryptophan--tRNA ligase,SINGLE PROTEIN
FRG009,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,CN1C[C@H](O)C[C@H]1c1nc(-c2ccc(OC(F)(F)F)cc2)no1,NAT18-381915,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f501a216ca0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a7771f0>,<rdkit.Chem.rdchem.Mol object at 0x7f5019ee5e90>,"[0, 15]",<rdkit.Chem.rdchem.Mol object at 0x7f501b5202c0>,CHEMBL3437517,21488085.0,CHEMBL4649957,F,,=,%,-5.196,CHEMBL4662922,Percent Effect,%,-5.19577366121916,Homologous single protein target assigned,8,Biochemical assay for Mt-TrpRS,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Tryptophan--tRNA ligase,SINGLE PROTEIN
FRG070,COc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,COc1ccc(-c2nnc([C@H]3CCN(CC(C)(C)C)C3)o2)cc1,NAT31-459655,COc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f501a0cfba0>,<rdkit.Chem.rdchem.Mol object at 0x7f501a640310>,<rdkit.Chem.rdchem.Mol object at 0x7f5019f0d030>,[13],<rdkit.Chem.rdchem.Mol object at 0x7f501b3302c0>,CHEMBL3436819,21329108.0,CHEMBL4649957,F,,=,%,0.07588,CHEMBL4662922,Percent Effect,%,0.075876952531,Homologous single protein target assigned,8,Biochemical assay for Mt-TrpRS,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Tryptophan--tRNA ligase,SINGLE PROTEIN
