CF_FRG,CF_SMILES,COCONUT_SMILES,COCONUT_ID,Substructure_SMILES,Murcko_SMILES,CF_2D_Mol,COCONUT_2D_Mol,Substructure_2D_Mol,Exit_Atom_Numbers,Num_Exit_Atoms,Substructure_Exit_Atoms,ChEMBL_Molecule_ID,ChEMBL_Activity_ID,ChEMBL_Assay_ID,ChEMBL_Assay_Type,pChEMBL_Value,ChEMBL_Relation,ChEMBL_Standard_Unit,ChEMBL_Standard_Value,ChEMBL_Target_ID,ChEMBL_Value_Type,units,value,ChEMBL_Assay_Confidence_Description,ChEMBL_Assay_Confidence_Score,ChEMBL_Assay_Description,ChEMBL_Target_Organism,ChEMBL_Target_Name,ChEMBL_Target_Type
F074,c1cc(-c2nnc([C@H]3CCNC3)o2)ccn1,C1=CC(C2=NN=C([C@H]3CCN(C4CCCCC4)C3)O2)=CC=N1,CNP0014153.1,c1cc(-c2nnc([C@H]3CCNC3)o2)ccn1,c1cc(-c2nnc([C@H]3CCNC3)o2)ccn1,<rdkit.Chem.rdchem.Mol object at 0x7bc922927ca0>,<rdkit.Chem.rdchem.Mol object at 0x7bc922956110>,<rdkit.Chem.rdchem.Mol object at 0x7bc9226484a0>,[10],1,<rdkit.Chem.rdchem.Mol object at 0x7bc9225982c0>,CHEMBL3436820,17849301.0,CHEMBL3988443,F,,=,%,2.373,CHEMBL4105741,Inhibition,%,2.372881356,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
F074,c1cc(-c2nnc([C@H]3CCNC3)o2)ccn1,C1=CC(C2=NN=C([C@H]3CCN(C4CCOCC4)C3)O2)=CC=N1,CNP0161714.1,c1cc(-c2nnc([C@H]3CCNC3)o2)ccn1,c1cc(-c2nnc([C@H]3CCNC3)o2)ccn1,<rdkit.Chem.rdchem.Mol object at 0x7bc922927d80>,<rdkit.Chem.rdchem.Mol object at 0x7bc9229561f0>,<rdkit.Chem.rdchem.Mol object at 0x7bc922648580>,[10],1,<rdkit.Chem.rdchem.Mol object at 0x7bc922598f40>,CHEMBL3436822,17849426.0,CHEMBL3988443,F,,=,%,-0.339,CHEMBL4105741,Inhibition,%,-0.338983051,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
F134,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,NC(=O)C1=CC=CC2=C1NC([C@H]1CCN(CC3=CC=CC=N3)C1)=N2,CNP0595754.1,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,<rdkit.Chem.rdchem.Mol object at 0x7bc9229283c0>,<rdkit.Chem.rdchem.Mol object at 0x7bc9229567a0>,<rdkit.Chem.rdchem.Mol object at 0x7bc922648b30>,"[9, 13]",2,<rdkit.Chem.rdchem.Mol object at 0x7bc9225993f0>,CHEMBL3437375,17856496.0,CHEMBL3988443,F,,=,%,12.03,CHEMBL4105741,Inhibition,%,12.03007519,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
F134,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,COC1=CC=C(CN2CC[C@H](C3=NC4=CC=CC(C(N)=O)=C4N3)C2)C=C1,CNP0014054.1,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,c1ccc2[nH]c([C@H]3CCNC3)nc2c1,<rdkit.Chem.rdchem.Mol object at 0x7bc92292a5e0>,<rdkit.Chem.rdchem.Mol object at 0x7bc922958a50>,<rdkit.Chem.rdchem.Mol object at 0x7bc92264ad50>,"[2, 9]",2,<rdkit.Chem.rdchem.Mol object at 0x7bc92259ac50>,CHEMBL3437366,17813476.0,CHEMBL3988443,F,,=,%,12.78,CHEMBL4105741,Inhibition,%,12.78195489,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
F145,Clc1ccc(-c2c[nH]c([C@@H]3COCCN3)n2)s1,CC(=O)N1CCC(N2CCOC[C@H]2C2=NC(C3=CC=C(Cl)S3)=CN2)CC1,CNP0076002.1,Clc1ccc(-c2c[nH]c([C@@H]3COCCN3)n2)s1,c1csc(-c2c[nH]c([C@@H]3COCCN3)n2)c1,<rdkit.Chem.rdchem.Mol object at 0x7bc92292cb30>,<rdkit.Chem.rdchem.Mol object at 0x7bc92295af10>,<rdkit.Chem.rdchem.Mol object at 0x7bc92264d2a0>,[14],1,<rdkit.Chem.rdchem.Mol object at 0x7bc9225a0630>,CHEMBL3437292,17866789.0,CHEMBL3988443,F,,=,%,9.831,CHEMBL4105741,Inhibition,%,9.830508475,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
F168,NC[C@H]1O[C@H](Cc2cc(-c3ccccc3)on2)CC[C@@H]1O,O[C@H]1CC[C@@H](CC2=NOC(C3=CC=CC=C3)=C2)O[C@@H]1CNCC1CC1,CNP0015221.1,NC[C@H]1O[C@H](Cc2cc(-c3ccccc3)on2)CC[C@@H]1O,c1ccc(-c2cc(C[C@@H]3CCCCO3)no2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7bc92292f060>,<rdkit.Chem.rdchem.Mol object at 0x7bc92295d4d0>,<rdkit.Chem.rdchem.Mol object at 0x7bc92264f7d0>,[0],1,<rdkit.Chem.rdchem.Mol object at 0x7bc9225a1e40>,CHEMBL3437354,17838442.0,CHEMBL3988443,F,,=,%,12.05,CHEMBL4105741,Inhibition,%,12.05211726,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
F236,CS(=O)(=O)c1ccc(O[C@@H]2CNCCOC2)cc1,CC(C)CN1CCOC[C@H](OC2=CC=C(S(C)(=O)=O)C=C2)C1,CNP0402631.1,CS(=O)(=O)c1ccc(O[C@@H]2CNCCOC2)cc1,c1ccc(O[C@@H]2CNCCOC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7bc9229312a0>,<rdkit.Chem.rdchem.Mol object at 0x7bc92295f680>,<rdkit.Chem.rdchem.Mol object at 0x7bc922651a10>,[11],1,<rdkit.Chem.rdchem.Mol object at 0x7bc9225a3830>,CHEMBL3437176,17855621.0,CHEMBL3988443,F,,=,%,4.886,CHEMBL4105741,Inhibition,%,4.885993485,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
F236,CS(=O)(=O)c1ccc(O[C@@H]2CNCCOC2)cc1,CS(=O)(=O)C1=CC=C(O[C@H]2COCCN(CC3=CC=NC=C3)C2)C=C1,CNP0547113.1,CS(=O)(=O)c1ccc(O[C@@H]2CNCCOC2)cc1,c1ccc(O[C@@H]2CNCCOC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7bc9229313f0>,<rdkit.Chem.rdchem.Mol object at 0x7bc92295f7d0>,<rdkit.Chem.rdchem.Mol object at 0x7bc922651b60>,[11],1,<rdkit.Chem.rdchem.Mol object at 0x7bc9225a39c0>,CHEMBL3437044,17846963.0,CHEMBL3988443,F,,=,%,10.75,CHEMBL4105741,Inhibition,%,10.74918567,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
F236,CS(=O)(=O)c1ccc(O[C@@H]2CNCCOC2)cc1,CS(=O)(=O)C1=CC=C(O[C@H]2COCCN(C(=O)C3=CC=NO3)C2)C=C1,CNP0506168.1,CS(=O)(=O)c1ccc(O[C@@H]2CNCCOC2)cc1,c1ccc(O[C@@H]2CNCCOC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7bc922931700>,<rdkit.Chem.rdchem.Mol object at 0x7bc92295fae0>,<rdkit.Chem.rdchem.Mol object at 0x7bc922651e70>,[11],1,<rdkit.Chem.rdchem.Mol object at 0x7bc9225a3bf0>,CHEMBL3437194,17824240.0,CHEMBL3988443,F,,=,%,9.153,CHEMBL4105741,Inhibition,%,9.152542373,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
F236,CS(=O)(=O)c1ccc(O[C@@H]2CNCCOC2)cc1,CC1=NC(C)=C(CN2CCOC[C@H](OC3=CC=C(S(C)(=O)=O)C=C3)C2)S1,CNP0040710.1,CS(=O)(=O)c1ccc(O[C@@H]2CNCCOC2)cc1,c1ccc(O[C@@H]2CNCCOC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7bc922931bd0>,<rdkit.Chem.rdchem.Mol object at 0x7bc922960040>,<rdkit.Chem.rdchem.Mol object at 0x7bc922652340>,[11],1,<rdkit.Chem.rdchem.Mol object at 0x7bc9225a3f60>,CHEMBL3437308,17864151.0,CHEMBL3988443,F,,=,%,8.795,CHEMBL4105741,Inhibition,%,8.794788274,Homologous single protein target assigned,8,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v6. Primary screen assay,Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",SINGLE PROTEIN
F009,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,COC1=CC=C(C2=NOC([C@@H]3C[C@@H](O)CN3C3CCOCC3)=N2)C=C1,CNP0013065.1,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228e1070>,<rdkit.Chem.rdchem.Mol object at 0x7bc92293f450>,<rdkit.Chem.rdchem.Mol object at 0x7bc92296d7e0>,[15],1,<rdkit.Chem.rdchem.Mol object at 0x7bc92268cb80>,CHEMBL3437572,20955195.0,CHEMBL4649941,F,,=,%,5.519,CHEMBL4662928,Percent Effect,%,5.5187637969095,Homologous single protein target assigned,8,"Biomol Green assay for MtCoaBC inhibitor, OD650 read",Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Coenzyme A biosynthesis bifunctional protein CoaBC,SINGLE PROTEIN
F009,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,COC1=CC=C(C2=NOC([C@@H]3C[C@@H](O)CN3C3CCN(C)CC3)=N2)C=C1,CNP0444120.1,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228e14d0>,<rdkit.Chem.rdchem.Mol object at 0x7bc92293f8b0>,<rdkit.Chem.rdchem.Mol object at 0x7bc92296dc40>,[15],1,<rdkit.Chem.rdchem.Mol object at 0x7bc92268ce50>,CHEMBL3437448,21115118.0,CHEMBL4649941,F,,=,%,1.545,CHEMBL4662928,Percent Effect,%,1.54525386313466,Homologous single protein target assigned,8,"Biomol Green assay for MtCoaBC inhibitor, OD650 read",Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Coenzyme A biosynthesis bifunctional protein CoaBC,SINGLE PROTEIN
F009,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,COC1=CC=C(C2=NOC([C@@H]3C[C@@H](O)CN3C3CCCCC3)=N2)C=C1,CNP0197435.1,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228e23b0>,<rdkit.Chem.rdchem.Mol object at 0x7bc922940820>,<rdkit.Chem.rdchem.Mol object at 0x7bc92296eb20>,[15],1,<rdkit.Chem.rdchem.Mol object at 0x7bc92268d990>,CHEMBL3437576,21911848.0,CHEMBL4649941,F,,=,%,-0.2208,CHEMBL4662928,Percent Effect,%,-0.22075055187638,Homologous single protein target assigned,8,"Biomol Green assay for MtCoaBC inhibitor, OD650 read",Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Coenzyme A biosynthesis bifunctional protein CoaBC,SINGLE PROTEIN
F009,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,CN1C[C@H](O)C[C@H]1C1=NC(C2=CC=C3OCOC3=C2)=NO1,CNP0013093.1,COc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3)n2)cc1,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228e26c0>,<rdkit.Chem.rdchem.Mol object at 0x7bc922940b30>,<rdkit.Chem.rdchem.Mol object at 0x7bc92296ee30>,"[0, 15, 18]",3,<rdkit.Chem.rdchem.Mol object at 0x7bc92268dbc0>,CHEMBL3437452,21433885.0,CHEMBL4649941,F,,=,%,13.16,CHEMBL4662928,Percent Effect,%,13.1630648330059,Homologous single protein target assigned,8,"Biomol Green assay for MtCoaBC inhibitor, OD650 read",Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Coenzyme A biosynthesis bifunctional protein CoaBC,SINGLE PROTEIN
F012,c1cc(-c2noc([C@@H]3Cc4nc[nH]c4CN3)n2)ccn1,C1=CC(C2=NOC([C@@H]3CC4=C(CN3)NC=N4)=N2)=CC=N1,CNP0124972.1,c1cc(-c2noc([C@@H]3Cc4nc[nH]c4CN3)n2)ccn1,c1cc(-c2noc([C@@H]3Cc4nc[nH]c4CN3)n2)ccn1,<rdkit.Chem.rdchem.Mol object at 0x7bc9228e2c00>,<rdkit.Chem.rdchem.Mol object at 0x7bc922941070>,<rdkit.Chem.rdchem.Mol object at 0x7bc92296f370>,[],0,<rdkit.Chem.rdchem.Mol object at 0x7bc92268df30>,CHEMBL3437495,20955171.0,CHEMBL4649941,F,,=,%,12.42,CHEMBL4662928,Percent Effect,%,12.4153498871332,Homologous single protein target assigned,8,"Biomol Green assay for MtCoaBC inhibitor, OD650 read",Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Coenzyme A biosynthesis bifunctional protein CoaBC,SINGLE PROTEIN
F070,COc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,COC1=CC=C(C2=NN=C([C@H]3CCN(C4CCC4)C3)O2)C=C1,CNP0055215.1,COc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,c1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7bc9229252a0>,<rdkit.Chem.rdchem.Mol object at 0x7bc922953680>,<rdkit.Chem.rdchem.Mol object at 0x7bc922981a10>,[13],1,<rdkit.Chem.rdchem.Mol object at 0x7bc922597060>,CHEMBL3436778,20955208.0,CHEMBL4649941,F,,=,%,1.987,CHEMBL4662928,Percent Effect,%,1.98675496688742,Homologous single protein target assigned,8,"Biomol Green assay for MtCoaBC inhibitor, OD650 read",Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Coenzyme A biosynthesis bifunctional protein CoaBC,SINGLE PROTEIN
F070,COc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,COC1=CC=C(C2=NN=C([C@H]3CCN(CC(C)(C)C)C3)O2)C=C1,CNP0010610.1,COc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,c1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7bc922925af0>,<rdkit.Chem.rdchem.Mol object at 0x7bc922953ed0>,<rdkit.Chem.rdchem.Mol object at 0x7bc922982260>,[13],1,<rdkit.Chem.rdchem.Mol object at 0x7bc922597650>,CHEMBL3436819,21433964.0,CHEMBL4649941,F,,=,%,11.7,CHEMBL4662928,Percent Effect,%,11.6997792494481,Homologous single protein target assigned,8,"Biomol Green assay for MtCoaBC inhibitor, OD650 read",Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Coenzyme A biosynthesis bifunctional protein CoaBC,SINGLE PROTEIN
F070,COc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,COC1=CC=C(C2=NN=C([C@H]3CCN(CC4CC4)C3)O2)C=C1,CNP0205468.1,COc1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,c1ccc(-c2nnc([C@H]3CCNC3)o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7bc922925c40>,<rdkit.Chem.rdchem.Mol object at 0x7bc9229540b0>,<rdkit.Chem.rdchem.Mol object at 0x7bc9229823b0>,[13],1,<rdkit.Chem.rdchem.Mol object at 0x7bc922597740>,CHEMBL3436777,21274686.0,CHEMBL4649941,F,,=,%,7.726,CHEMBL4662928,Percent Effect,%,7.7262693156733,Homologous single protein target assigned,8,"Biomol Green assay for MtCoaBC inhibitor, OD650 read",Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Coenzyme A biosynthesis bifunctional protein CoaBC,SINGLE PROTEIN
